#X,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1
#Frequency(Hz),Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real
100.000000,-1.449329,0.108605,-1.447889,0.108497,-1.447683,0.108482
102.000000,-1.421855,0.108486,-1.420385,0.108374,-1.420176,0.108358
104.000000,-1.395448,0.108373,-1.393948,0.108257,-1.393734,0.108240
106.000000,-1.370047,0.108268,-1.368517,0.108147,-1.368299,0.108130
108.000000,-1.345596,0.108169,-1.344037,0.108044,-1.343815,0.108026
110.000000,-1.322045,0.108078,-1.320456,0.107948,-1.320229,0.107929
112.000000,-1.299345,0.107994,-1.297726,0.107859,-1.297495,0.107840
114.000000,-1.277451,0.107916,-1.275802,0.107777,-1.275567,0.107757
116.000000,-1.256323,0.107846,-1.254643,0.107702,-1.254404,0.107681
118.000000,-1.235921,0.107783,-1.234211,0.107634,-1.233968,0.107612
120.000000,-1.216210,0.107726,-1.214470,0.107572,-1.214222,0.107550
122.000000,-1.197155,0.107676,-1.195384,0.107517,-1.195132,0.107495
124.000000,-1.178725,0.107633,-1.176924,0.107469,-1.176668,0.107445
126.000000,-1.160891,0.107596,-1.159060,0.107427,-1.158799,0.107403
128.000000,-1.143625,0.107566,-1.141763,0.107391,-1.141498,0.107366
130.000000,-1.126900,0.107542,-1.125008,0.107362,-1.124738,0.107336
132.000000,-1.110693,0.107524,-1.108770,0.107338,-1.108496,0.107312
134.000000,-1.094980,0.107512,-1.093027,0.107321,-1.092749,0.107293
136.000000,-1.079740,0.107507,-1.077756,0.107309,-1.077474,0.107281
138.000000,-1.064953,0.107507,-1.062938,0.107303,-1.062651,0.107274
140.000000,-1.050599,0.107513,-1.048553,0.107303,-1.048262,0.107273
142.000000,-1.036660,0.107524,-1.034583,0.107309,-1.034287,0.107278
144.000000,-1.023119,0.107541,-1.021011,0.107320,-1.020711,0.107288
146.000000,-1.009960,0.107564,-1.007821,0.107336,-1.007516,0.107303
148.000000,-0.997167,0.107592,-0.994997,0.107357,-0.994688,0.107324
150.000000,-0.984726,0.107625,-0.982525,0.107384,-0.982211,0.107350
152.000000,-0.972623,0.107663,-0.970391,0.107416,-0.970073,0.107381
154.000000,-0.960846,0.107707,-0.958582,0.107453,-0.958260,0.107417
156.000000,-0.949382,0.107755,-0.947086,0.107495,-0.946759,0.107458
158.000000,-0.938218,0.107809,-0.935891,0.107542,-0.935560,0.107503
160.000000,-0.927345,0.107867,-0.924987,0.107593,-0.924651,0.107554
162.000000,-0.916751,0.107931,-0.914361,0.107649,-0.914021,0.107609
164.000000,-0.906427,0.107999,-0.904005,0.107710,-0.903660,0.107669
166.000000,-0.896362,0.108071,-0.893908,0.107775,-0.893559,0.107733
168.000000,-0.886548,0.108148,-0.884062,0.107845,-0.883708,0.107802
170.000000,-0.876976,0.108230,-0.874458,0.107920,-0.874100,0.107875
172.000000,-0.867638,0.108317,-0.865088,0.107998,-0.864725,0.107953
174.000000,-0.858526,0.108407,-0.855943,0.108081,-0.855576,0.108035
176.000000,-0.849632,0.108502,-0.847017,0.108168,-0.846645,0.108121
178.000000,-0.840948,0.108602,-0.838302,0.108260,-0.837925,0.108211
180.000000,-0.832470,0.108705,-0.829790,0.108355,-0.829409,0.108305
182.000000,-0.824188,0.108813,-0.821476,0.108455,-0.821090,0.108404
184.000000,-0.816099,0.108925,-0.813354,0.108558,-0.812963,0.108506
186.000000,-0.808194,0.109040,-0.805417,0.108666,-0.805021,0.108612
188.000000,-0.800469,0.109160,-0.797659,0.108777,-0.797259,0.108723
190.000000,-0.792918,0.109284,-0.790075,0.108892,-0.789670,0.108836
192.000000,-0.785536,0.109412,-0.782660,0.109011,-0.782250,0.108954
194.000000,-0.778318,0.109543,-0.775408,0.109134,-0.774994,0.109075
196.000000,-0.771259,0.109679,-0.768316,0.109260,-0.767897,0.109200
198.000000,-0.764354,0.109817,-0.761377,0.109390,-0.760954,0.109329
200.000000,-0.757599,0.109960,-0.754589,0.109523,-0.754160,0.109461
202.000000,-0.750989,0.110106,-0.747945,0.109660,-0.747512,0.109596
204.000000,-0.744521,0.110256,-0.741443,0.109800,-0.741006,0.109735
206.000000,-0.738190,0.110409,-0.735079,0.109943,-0.734636,0.109877
208.000000,-0.731993,0.110565,-0.728848,0.110090,-0.728400,0.110023
210.000000,-0.725926,0.110725,-0.722747,0.110240,-0.722294,0.110171
212.000000,-0.719986,0.110888,-0.716772,0.110393,-0.716315,0.110323
214.000000,-0.714169,0.111054,-0.710920,0.110549,-0.710458,0.110477
216.000000,-0.708472,0.111223,-0.705188,0.110708,-0.704722,0.110635
218.000000,-0.702891,0.111395,-0.699573,0.110870,-0.699102,0.110795
220.000000,-0.697425,0.111571,-0.694072,0.111034,-0.693595,0.110958
222.000000,-0.692069,0.111749,-0.688681,0.111202,-0.688200,0.111124
224.000000,-0.686821,0.111929,-0.683398,0.111372,-0.682912,0.111292
226.000000,-0.681679,0.112113,-0.678221,0.111544,-0.677729,0.111463
228.000000,-0.676639,0.112299,-0.673146,0.111719,-0.672649,0.111637
230.000000,-0.671700,0.112487,-0.668171,0.111896,-0.667669,0.111812
232.000000,-0.666859,0.112678,-0.663294,0.112076,-0.662787,0.111990
234.000000,-0.662113,0.112872,-0.658512,0.112258,-0.658000,0.112171
236.000000,-0.657460,0.113067,-0.653823,0.112442,-0.653306,0.112353
238.000000,-0.652898,0.113265,-0.649225,0.112628,-0.648703,0.112537
240.000000,-0.648425,0.113465,-0.644716,0.112815,-0.644189,0.112723
242.000000,-0.644039,0.113666,-0.640293,0.113005,-0.639761,0.112911
244.000000,-0.639738,0.113870,-0.635955,0.113196,-0.635418,0.113101
246.000000,-0.635520,0.114075,-0.631700,0.113389,-0.631158,0.113292
248.000000,-0.631382,0.114282,-0.627526,0.113584,-0.626978,0.113485
250.000000,-0.627324,0.114491,-0.623430,0.113780,-0.622878,0.113679
252.000000,-0.623344,0.114700,-0.619412,0.113977,-0.618854,0.113874
254.000000,-0.619439,0.114912,-0.615470,0.114175,-0.614907,0.114071
256.000000,-0.615608,0.115124,-0.611601,0.114375,-0.611033,0.114269
258.000000,-0.611850,0.115338,-0.607805,0.114576,-0.607231,0.114467
260.000000,-0.608163,0.115553,-0.604080,0.114777,-0.603500,0.114667
262.000000,-0.604545,0.115768,-0.600423,0.114979,-0.599839,0.114867
264.000000,-0.600995,0.115985,-0.596835,0.115182,-0.596245,0.115068
266.000000,-0.597511,0.116202,-0.593312,0.115386,-0.592717,0.115270
268.000000,-0.594092,0.116420,-0.589855,0.115590,-0.589254,0.115472
270.000000,-0.590738,0.116639,-0.586461,0.115795,-0.585854,0.115675
272.000000,-0.587445,0.116858,-0.583129,0.116000,-0.582517,0.115878
274.000000,-0.584214,0.117078,-0.579858,0.116205,-0.579240,0.116081
276.000000,-0.581042,0.117297,-0.576646,0.116410,-0.576023,0.116284
278.000000,-0.577929,0.117517,-0.573493,0.116616,-0.572865,0.116488
280.000000,-0.574873,0.117738,-0.570397,0.116821,-0.569763,0.116691
282.000000,-0.571873,0.117958,-0.567357,0.117026,-0.566717,0.116894
284.000000,-0.568929,0.118178,-0.564372,0.117232,-0.563726,0.117098
286.000000,-0.566038,0.118399,-0.561440,0.117437,-0.560789,0.117301
288.000000,-0.563200,0.118619,-0.558561,0.117642,-0.557904,0.117503
290.000000,-0.560414,0.118839,-0.555734,0.117846,-0.555071,0.117706
292.000000,-0.557679,0.119059,-0.552957,0.118051,-0.552288,0.117908
294.000000,-0.554993,0.119278,-0.550229,0.118254,-0.549555,0.118109
296.000000,-0.552356,0.119497,-0.547550,0.118458,-0.546870,0.118311
298.000000,-0.549767,0.119716,-0.544919,0.118661,-0.544232,0.118511
300.000000,-0.547224,0.119935,-0.542334,0.118863,-0.541641,0.118711
